WTCH_YM,ENN_LNN_MNTH_AVG_ANOMALY,ENN_LNN_3MNTH_AVG_ANOMALY,ENN_LNN_MNTH_AVG_VAL,ENN_LNN_NMYR_AVG,ENN_LNN_NMYR_STDDEV_VAL,UOM_NM
202212,-0.849441,-0.828729,25.727398,26.57684,1.219633,deg C
202301,-0.695737,-0.660465,25.79887,26.494608,1.164648,deg C
202302,-0.436216,-0.382985,26.231615,26.667831,1.007264,deg C
202303,-0.017,-0.086983,27.163296,27.180296,0.817327,deg C
202304,0.192268,0.217655,27.963505,27.771236,0.657626,deg C
202305,0.477698,0.534997,28.319105,27.841408,0.614643,deg C
202306,0.931848,0.839768,28.596712,27.664865,0.627709,deg C
202307,1.105064,1.123663,28.348682,27.243618,0.677102,deg C
202308,1.334077,1.339169,28.169405,26.835327,0.818931,deg C
202309,1.578367,,28.273634,26.695267,0.834961,deg C
